ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,CreditHistory,Dependents,Education,EmploymentType,PropertyArea,MaritalStatus,Loan_Status
95559,43601,74435,300,1,0,Not Graduate,Salaried,Semiurban,Single,1
56786,3114,137212,240,1,3+,Not Graduate,Self Employed,Rural,Married,1
51062,26502,105797,120,1,2,Graduate,Self Employed,Urban,Married,1
66571,49768,486770,84,1,1,Graduate,Self Employed,Rural,Single,1
40510,48128,104555,120,1,2,Graduate,Salaried,Urban,Single,1
34426,20028,135350,120,1,3+,Graduate,Self Employed,Urban,Single,1
52265,55565,64716,84,1,3+,Graduate,Self Employed,Semiurban,Single,1
81150,35333,110261,180,0,1,Graduate,Self Employed,Semiurban,Married,1
102312,3174,470744,300,1,1,Graduate,Self Employed,Urban,Single,1
104613,35398,314139,84,0,3+,Not Graduate,Self Employed,Semiurban,Single,1
89910,35929,72414,36,1,1,Not Graduate,Salaried,Semiurban,Married,1
67375,4321,194916,60,1,0,Not Graduate,Salaried,Rural,Married,1
136826,55421,217731,300,1,0,Not Graduate,Self Employed,Semiurban,Married,1
50435,72635,65522,12,0,3+,Not Graduate,Salaried,Urban,Married,1
111443,23760,441776,84,1,2,Not Graduate,Salaried,Semiurban,Single,1
149055,11360,386178,84,0,1,Graduate,Self Employed,Urban,Single,0
38510,10313,354466,120,1,1,Not Graduate,Salaried,Urban,Married,0
109071,5801,379782,36,1,0,Not Graduate,Salaried,Rural,Single,1
21640,14130,413478,240,1,1,Not Graduate,Self Employed,Urban,Single,0
59547,14271,189596,240,0,2,Graduate,Self Employed,Urban,Married,0
69620,16075,80846,120,1,1,Graduate,Salaried,Rural,Single,1
130608,18984,385787,180,0,1,Graduate,Salaried,Urban,Single,0
22564,60942,164930,300,0,0,Not Graduate,Salaried,Rural,Married,0
128824,12861,490919,84,1,1,Not Graduate,Self Employed,Urban,Single,1
94273,71376,336543,300,1,3+,Not Graduate,Salaried,Semiurban,Single,1
89859,61247,256232,300,1,3+,Graduate,Salaried,Rural,Married,1
125017,69101,273734,84,0,2,Graduate,Self Employed,Rural,Single,1
138618,20977,269739,120,1,2,Not Graduate,Salaried,Urban,Married,1
140341,50617,173182,300,1,2,Graduate,Self Employed,Rural,Married,1
44430,57473,98591,84,1,2,Not Graduate,Salaried,Urban,Married,1
42788,72902,201786,180,1,0,Graduate,Self Employed,Rural,Married,1
84346,15630,348021,300,1,1,Graduate,Salaried,Rural,Married,1
111122,20056,134106,60,0,0,Graduate,Salaried,Semiurban,Married,1
54974,7382,128018,12,1,2,Not Graduate,Self Employed,Urban,Single,1
122309,55739,411998,12,1,1,Graduate,Self Employed,Semiurban,Married,1
31371,48639,214486,12,0,3+,Not Graduate,Self Employed,Rural,Single,0
60084,59838,170832,60,1,0,Not Graduate,Self Employed,Urban,Married,1
76916,46041,136576,84,0,1,Not Graduate,Self Employed,Semiurban,Married,1
88972,992,260015,120,1,3+,Graduate,Self Employed,Rural,Married,1
27984,72394,304664,240,1,3+,Graduate,Self Employed,Semiurban,Single,1
48039,67657,226540,36,0,2,Graduate,Salaried,Rural,Single,1
100431,27160,260774,84,0,3+,Not Graduate,Salaried,Rural,Married,0
98691,45156,253180,60,0,3+,Graduate,Salaried,Urban,Single,0
73606,51375,142508,300,1,2,Graduate,Salaried,Urban,Married,1
117665,19572,358979,180,1,1,Not Graduate,Salaried,Urban,Married,1
120373,4136,244405,60,0,1,Not Graduate,Salaried,Rural,Single,0
39574,61868,92464,300,0,2,Not Graduate,Salaried,Semiurban,Married,0
149502,32167,424598,240,1,0,Graduate,Self Employed,Urban,Married,1
47733,15479,203995,12,0,2,Graduate,Salaried,Urban,Single,1
17050,31376,166062,84,1,1,Not Graduate,Self Employed,Urban,Married,1
124996,4823,379589,240,1,0,Graduate,Salaried,Urban,Married,1
48933,70456,422598,12,1,2,Not Graduate,Self Employed,Rural,Single,1
39951,19585,434050,36,1,1,Graduate,Salaried,Semiurban,Single,0
47413,17272,148384,300,1,1,Not Graduate,Salaried,Rural,Married,1
127573,26619,248691,300,1,1,Graduate,Salaried,Rural,Married,1
137744,75069,227218,180,1,3+,Not Graduate,Salaried,Rural,Single,1
104431,39895,372176,12,1,3+,Not Graduate,Self Employed,Urban,Single,1
58001,3720,425665,36,0,0,Not Graduate,Salaried,Semiurban,Married,0
82364,19267,428522,300,0,0,Graduate,Self Employed,Rural,Single,0
139988,15696,67140,60,0,0,Graduate,Salaried,Rural,Single,0
60028,29968,314814,12,1,3+,Graduate,Salaried,Rural,Single,1
146878,53364,348663,12,1,0,Not Graduate,Salaried,Urban,Married,1
139343,23345,94512,120,1,1,Not Graduate,Salaried,Urban,Married,1
143301,51567,153565,180,1,1,Not Graduate,Self Employed,Rural,Married,1
141295,61607,195763,180,1,0,Not Graduate,Self Employed,Urban,Married,1
49636,19385,417300,240,0,0,Not Graduate,Self Employed,Semiurban,Married,0
39262,66900,215334,60,1,3+,Not Graduate,Salaried,Urban,Single,1
95435,68244,235964,120,0,1,Not Graduate,Salaried,Rural,Single,1
143583,65425,75595,240,0,2,Not Graduate,Salaried,Semiurban,Single,1
56844,78518,238279,36,1,2,Not Graduate,Salaried,Urban,Married,1
79754,32919,296661,240,1,3+,Graduate,Self Employed,Rural,Married,1
92129,57196,214512,36,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
55042,79401,320774,60,1,3+,Graduate,Self Employed,Semiurban,Single,1
76665,495,474466,300,1,1,Not Graduate,Salaried,Semiurban,Single,1
131953,44755,310300,180,1,0,Graduate,Self Employed,Urban,Single,1
133533,67684,289644,300,1,0,Not Graduate,Salaried,Semiurban,Married,1
88781,33324,279820,36,1,3+,Graduate,Self Employed,Urban,Married,1
81262,78929,419605,60,1,1,Not Graduate,Self Employed,Rural,Single,1
61600,1552,258590,300,1,2,Not Graduate,Self Employed,Urban,Married,1
91898,51272,124191,240,1,3+,Not Graduate,Self Employed,Urban,Married,1
45448,35853,150591,36,1,1,Graduate,Salaried,Rural,Married,1
41172,32924,113753,84,1,3+,Not Graduate,Salaried,Urban,Married,1
22657,74462,110520,12,1,1,Graduate,Self Employed,Urban,Single,1
127855,23889,316152,240,1,1,Graduate,Self Employed,Rural,Single,1
22906,54675,487680,180,1,3+,Graduate,Salaried,Semiurban,Married,1
76413,73591,419552,300,1,0,Graduate,Self Employed,Rural,Single,1
69028,70190,312640,240,1,3+,Graduate,Self Employed,Semiurban,Married,1
22287,22634,411911,84,0,0,Not Graduate,Self Employed,Urban,Single,0
48660,32363,335356,60,1,0,Graduate,Salaried,Rural,Single,1
75504,63752,332781,60,1,2,Graduate,Salaried,Semiurban,Single,1
117979,77004,357371,240,1,1,Graduate,Self Employed,Urban,Single,1
49701,56398,431897,84,1,3+,Graduate,Self Employed,Urban,Single,1
98300,40718,170118,300,1,1,Not Graduate,Salaried,Urban,Single,1
98560,26870,264418,240,0,2,Not Graduate,Salaried,Semiurban,Single,0
58642,37394,322028,12,0,0,Not Graduate,Salaried,Semiurban,Married,0
80160,52057,166481,12,1,3+,Graduate,Salaried,Semiurban,Single,1
32602,79795,118259,120,1,1,Graduate,Salaried,Urban,Married,1
118320,13016,99810,36,0,2,Graduate,Salaried,Semiurban,Single,0
103801,42137,179926,120,0,0,Not Graduate,Salaried,Rural,Single,1
40931,153,54761,300,0,0,Graduate,Salaried,Semiurban,Single,0
109377,7853,308414,12,1,1,Not Graduate,Self Employed,Semiurban,Married,1
44192,12379,66375,84,0,0,Graduate,Self Employed,Urban,Married,0
61542,15792,288117,36,0,2,Graduate,Salaried,Rural,Married,0
142015,38367,468434,300,1,0,Not Graduate,Self Employed,Rural,Married,1
57520,18100,211637,84,1,3+,Graduate,Salaried,Rural,Married,1
79772,63456,152654,300,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
65106,11049,345119,120,1,1,Graduate,Salaried,Urban,Married,1
96121,786,208145,60,1,2,Not Graduate,Salaried,Semiurban,Married,1
40559,69904,250798,84,1,0,Graduate,Self Employed,Urban,Married,1
120595,30699,182955,120,1,0,Graduate,Self Employed,Rural,Single,1
48742,47691,230701,120,0,0,Graduate,Self Employed,Semiurban,Single,1
84669,37040,245242,120,1,3+,Graduate,Self Employed,Urban,Single,1
85831,57986,124489,60,1,2,Graduate,Self Employed,Semiurban,Married,1
127217,38762,58381,60,0,0,Not Graduate,Salaried,Urban,Single,1
56873,23600,466454,240,1,1,Not Graduate,Salaried,Rural,Married,1
121532,19810,194867,60,1,2,Graduate,Salaried,Semiurban,Single,1
141267,57204,112999,36,1,2,Not Graduate,Self Employed,Rural,Single,1
149092,20085,362051,60,1,0,Not Graduate,Salaried,Semiurban,Single,1
56755,46854,452854,60,0,3+,Not Graduate,Salaried,Semiurban,Single,0
100956,74797,382611,60,1,2,Not Graduate,Self Employed,Urban,Single,1
101988,39779,354767,300,1,1,Graduate,Salaried,Urban,Married,1
60648,56207,219564,84,1,2,Not Graduate,Self Employed,Urban,Married,1
140991,33980,469627,60,1,3+,Not Graduate,Self Employed,Rural,Single,1
130005,56117,422868,36,0,1,Graduate,Salaried,Rural,Married,0
17396,14141,201606,300,1,3+,Graduate,Salaried,Semiurban,Single,1
99082,9344,472397,120,1,0,Graduate,Self Employed,Urban,Single,1
143322,15896,415213,84,0,2,Graduate,Self Employed,Rural,Single,0
147663,29813,69996,12,1,1,Graduate,Salaried,Semiurban,Single,1
26303,65679,253161,300,1,3+,Graduate,Salaried,Rural,Single,1
86719,10681,155682,60,1,0,Graduate,Salaried,Semiurban,Single,1
114616,72903,395753,300,0,1,Graduate,Salaried,Urban,Single,0
139165,3228,210477,240,1,2,Not Graduate,Salaried,Semiurban,Married,1
101231,4582,413634,240,1,2,Graduate,Self Employed,Semiurban,Married,1
22314,78683,307972,300,1,3+,Not Graduate,Self Employed,Urban,Single,1
34623,11397,121325,120,0,1,Graduate,Salaried,Urban,Married,0
120228,38799,78930,120,1,0,Graduate,Salaried,Semiurban,Single,1
112624,37011,426570,84,1,0,Not Graduate,Salaried,Rural,Married,1
126785,79183,67529,240,0,0,Graduate,Salaried,Urban,Married,1
101206,44264,103546,12,1,3+,Graduate,Salaried,Semiurban,Single,1
84274,42317,320086,180,1,0,Not Graduate,Self Employed,Urban,Single,1
148541,47914,319692,240,0,1,Not Graduate,Self Employed,Urban,Married,1
68947,45254,427392,300,1,3+,Not Graduate,Salaried,Rural,Single,1
63874,40096,461512,240,1,2,Not Graduate,Salaried,Urban,Married,1
64708,53785,232088,36,1,3+,Not Graduate,Salaried,Semiurban,Single,1
89553,52344,147780,180,1,3+,Not Graduate,Self Employed,Semiurban,Married,1
83344,68546,312440,120,0,3+,Graduate,Self Employed,Urban,Married,1
64138,71091,117945,180,1,1,Graduate,Self Employed,Urban,Married,1
62638,65603,109980,240,1,2,Graduate,Salaried,Rural,Single,1
93249,28412,368926,120,0,2,Graduate,Salaried,Rural,Married,1
120865,51658,215301,180,1,3+,Graduate,Self Employed,Rural,Single,1
17719,49549,146382,120,0,3+,Not Graduate,Self Employed,Semiurban,Single,0
57534,11549,103444,120,1,3+,Not Graduate,Salaried,Rural,Single,1
107241,71216,347180,84,1,1,Graduate,Self Employed,Semiurban,Single,1
141209,25739,310186,12,1,1,Not Graduate,Self Employed,Rural,Single,1
107124,21209,351466,120,0,0,Graduate,Self Employed,Semiurban,Married,1
106659,15116,208239,36,1,2,Not Graduate,Salaried,Urban,Single,1
90713,20045,363811,240,1,0,Graduate,Salaried,Semiurban,Single,1
90418,26327,144527,240,1,0,Graduate,Self Employed,Urban,Married,1
143232,35709,133337,36,1,3+,Graduate,Self Employed,Semiurban,Married,1
46575,43617,363612,60,0,1,Not Graduate,Salaried,Semiurban,Single,0
78852,60139,122894,120,1,0,Not Graduate,Salaried,Urban,Single,1
147079,26905,496300,300,1,0,Graduate,Self Employed,Semiurban,Single,1
91242,64148,113138,120,1,0,Not Graduate,Self Employed,Semiurban,Married,1
44257,72603,334732,120,1,3+,Graduate,Self Employed,Rural,Single,1
76246,42919,375045,300,1,3+,Graduate,Salaried,Urban,Single,1
16435,58446,460887,180,0,1,Not Graduate,Self Employed,Urban,Married,0
106357,52428,133038,120,1,0,Graduate,Self Employed,Rural,Married,1
98807,47894,474861,120,1,0,Graduate,Self Employed,Rural,Married,1
130953,6447,188709,36,1,1,Graduate,Self Employed,Urban,Single,1
138797,5499,443876,12,1,1,Not Graduate,Self Employed,Urban,Single,1
78888,39041,419355,12,1,1,Graduate,Salaried,Urban,Single,1
88609,31315,319066,60,0,2,Graduate,Self Employed,Rural,Married,0
24077,1299,143697,36,1,1,Graduate,Self Employed,Rural,Married,1
35953,4994,225793,120,1,3+,Graduate,Salaried,Semiurban,Single,1
129682,7489,302097,12,1,2,Not Graduate,Salaried,Rural,Married,1
82889,32355,429361,84,1,1,Graduate,Self Employed,Semiurban,Married,1
130374,73805,381650,84,0,3+,Graduate,Self Employed,Semiurban,Married,0
39860,68367,250015,84,1,1,Not Graduate,Self Employed,Rural,Married,1
92475,77355,174338,120,1,1,Not Graduate,Salaried,Rural,Single,1
102266,1996,77843,120,1,2,Not Graduate,Salaried,Rural,Single,1
115732,44387,190118,300,1,3+,Not Graduate,Salaried,Rural,Married,1
42083,3089,415208,60,1,0,Not Graduate,Salaried,Urban,Married,1
72372,20659,277997,240,0,1,Not Graduate,Self Employed,Rural,Married,0
138786,45178,176417,60,1,2,Graduate,Salaried,Semiurban,Married,1
22813,70726,166585,60,1,3+,Graduate,Self Employed,Semiurban,Married,1
46598,70111,80346,180,1,1,Not Graduate,Salaried,Urban,Single,1
108106,34565,269356,84,1,0,Graduate,Self Employed,Urban,Married,1
42082,22884,435296,120,1,3+,Not Graduate,Self Employed,Rural,Single,1
44241,17199,423913,84,1,3+,Graduate,Self Employed,Urban,Single,1
26745,60038,152391,60,0,2,Not Graduate,Salaried,Rural,Married,0
41029,57786,496742,120,1,1,Not Graduate,Self Employed,Rural,Single,1
138395,49294,385287,36,0,1,Graduate,Self Employed,Urban,Married,1
104186,78015,348931,300,1,3+,Not Graduate,Self Employed,Urban,Married,1
112768,34178,345727,12,1,1,Graduate,Salaried,Semiurban,Married,1
56846,12665,193635,12,1,3+,Not Graduate,Self Employed,Urban,Single,1
90932,534,227132,60,1,0,Not Graduate,Salaried,Urban,Single,1
38411,36132,310609,240,1,2,Graduate,Self Employed,Urban,Single,1
93797,36110,171943,84,1,1,Not Graduate,Salaried,Semiurban,Married,1
67307,58754,295534,36,1,1,Graduate,Self Employed,Rural,Single,1
149165,63580,214762,120,1,2,Graduate,Self Employed,Semiurban,Single,1
37042,22469,423377,240,1,0,Graduate,Self Employed,Urban,Single,1
67930,64016,275784,84,1,0,Graduate,Self Employed,Urban,Married,1
112883,46233,64925,60,1,0,Graduate,Salaried,Urban,Single,1
48756,66708,267859,84,0,0,Not Graduate,Self Employed,Rural,Married,0
68268,58232,133184,60,1,0,Not Graduate,Self Employed,Semiurban,Single,1
63901,34409,463324,180,0,3+,Graduate,Self Employed,Semiurban,Single,0
114986,19324,126515,12,1,1,Not Graduate,Salaried,Rural,Single,1
143386,8738,249330,240,0,1,Graduate,Salaried,Semiurban,Married,0
20626,24054,186427,12,0,1,Not Graduate,Salaried,Rural,Married,0
27857,29709,358213,84,1,3+,Graduate,Self Employed,Rural,Single,1
148052,363,275407,36,1,2,Not Graduate,Salaried,Semiurban,Single,1
41431,10358,150854,120,1,0,Graduate,Salaried,Semiurban,Married,1
99976,3240,366615,60,1,2,Not Graduate,Salaried,Rural,Married,1
97711,72201,344849,120,1,0,Graduate,Self Employed,Semiurban,Single,1
41385,45689,224981,12,1,0,Graduate,Salaried,Rural,Single,1
33639,1936,269678,300,1,2,Not Graduate,Self Employed,Semiurban,Married,0
100530,43965,178501,36,1,1,Graduate,Salaried,Semiurban,Single,1
36563,77534,166361,36,1,3+,Graduate,Salaried,Semiurban,Married,1
130672,882,234811,120,1,2,Not Graduate,Self Employed,Semiurban,Single,1
97970,20224,257892,12,0,1,Not Graduate,Self Employed,Semiurban,Single,1
100553,30825,137273,300,1,0,Graduate,Self Employed,Urban,Single,1
97879,70740,335385,120,0,1,Graduate,Salaried,Urban,Single,0
59859,28885,470630,84,1,0,Graduate,Self Employed,Semiurban,Married,1
67098,40056,100818,36,1,0,Graduate,Self Employed,Semiurban,Single,1
137413,3203,201967,36,1,1,Not Graduate,Salaried,Semiurban,Single,1
15526,60241,404451,84,1,0,Graduate,Self Employed,Rural,Single,1
83760,2244,243481,12,1,3+,Graduate,Self Employed,Urban,Single,1
62837,68619,498540,36,1,1,Not Graduate,Salaried,Rural,Single,1
26536,21584,379064,240,1,2,Not Graduate,Salaried,Urban,Single,1
43541,8521,496771,300,1,0,Graduate,Salaried,Urban,Married,1
94083,50017,168642,180,1,0,Not Graduate,Self Employed,Semiurban,Single,1
49531,33541,377597,180,1,3+,Not Graduate,Salaried,Semiurban,Married,1
23712,29063,334833,180,1,3+,Not Graduate,Self Employed,Rural,Married,1
119101,70268,245428,60,0,2,Graduate,Salaried,Rural,Married,1
80455,64952,274083,240,1,0,Graduate,Salaried,Semiurban,Married,1
89744,39563,451468,60,1,2,Graduate,Salaried,Semiurban,Single,1
144749,39752,342988,12,1,2,Not Graduate,Self Employed,Urban,Single,1
20109,2567,145687,84,1,0,Graduate,Self Employed,Urban,Single,1
64268,16121,335509,120,1,2,Graduate,Self Employed,Semiurban,Married,1
69615,1674,187098,240,1,2,Graduate,Self Employed,Urban,Single,1
97503,76411,410447,300,1,3+,Not Graduate,Self Employed,Rural,Married,1
100708,66275,340667,12,1,3+,Graduate,Salaried,Urban,Married,1
117471,67081,191554,120,0,2,Graduate,Salaried,Semiurban,Single,1
98309,29140,162105,12,1,0,Graduate,Salaried,Urban,Married,1
141446,9327,361032,60,1,3+,Graduate,Salaried,Semiurban,Married,1
121661,70663,163884,180,0,2,Not Graduate,Self Employed,Urban,Married,1
21154,23331,156968,84,0,1,Graduate,Self Employed,Rural,Married,0
79288,23004,362254,60,1,1,Graduate,Self Employed,Rural,Single,1
66195,10492,271716,84,1,2,Not Graduate,Salaried,Semiurban,Married,1
35581,54797,443709,240,1,1,Not Graduate,Salaried,Semiurban,Married,1
45087,58095,499410,120,1,3+,Not Graduate,Self Employed,Semiurban,Married,1
84298,13749,132001,12,1,0,Not Graduate,Salaried,Urban,Single,1
61167,63217,89767,36,0,2,Not Graduate,Salaried,Urban,Single,1
54499,9045,79550,36,1,3+,Graduate,Self Employed,Urban,Married,1
140816,20116,194905,84,1,0,Not Graduate,Salaried,Rural,Single,1
111347,18667,184042,180,1,1,Not Graduate,Self Employed,Semiurban,Single,1
63787,75057,148315,180,0,1,Not Graduate,Salaried,Urban,Single,1
50488,74205,145494,84,1,1,Graduate,Self Employed,Rural,Single,1
89441,27302,177424,60,1,1,Graduate,Salaried,Semiurban,Married,1
37431,11283,425999,36,1,3+,Graduate,Self Employed,Rural,Married,1
76681,30935,132681,60,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
137720,72534,413633,120,1,0,Graduate,Salaried,Urban,Single,1
64153,31624,230249,36,0,2,Not Graduate,Salaried,Rural,Single,1
21368,13440,442690,120,0,0,Not Graduate,Self Employed,Rural,Single,0
127360,46501,302411,12,1,2,Graduate,Self Employed,Rural,Single,1
127755,1269,242573,60,1,1,Graduate,Self Employed,Semiurban,Single,1
71985,7868,78900,84,1,1,Graduate,Self Employed,Semiurban,Single,1
65069,30251,64126,36,0,1,Not Graduate,Self Employed,Rural,Married,1
67326,77909,161198,60,1,1,Graduate,Salaried,Semiurban,Married,1
123737,38729,251762,84,0,3+,Graduate,Salaried,Rural,Single,0
65861,15734,268816,12,0,0,Graduate,Salaried,Urban,Single,0
90897,42429,391447,36,1,2,Graduate,Salaried,Rural,Married,1
142118,41337,266651,120,1,2,Graduate,Salaried,Rural,Married,1
83577,40325,491210,12,0,3+,Not Graduate,Self Employed,Semiurban,Single,1
24078,62514,379205,180,0,1,Not Graduate,Salaried,Semiurban,Married,0
77768,8433,66978,84,1,0,Graduate,Salaried,Semiurban,Married,1
66047,9111,106344,300,1,1,Not Graduate,Self Employed,Urban,Single,1
86626,63753,358792,36,1,3+,Not Graduate,Self Employed,Urban,Married,1
72660,73620,313199,36,1,2,Not Graduate,Salaried,Urban,Single,1
147997,21751,125582,240,1,3+,Graduate,Salaried,Semiurban,Married,1
132832,16453,282459,240,0,2,Not Graduate,Self Employed,Rural,Single,0
145406,38968,131214,12,0,0,Graduate,Salaried,Rural,Married,1
140150,30077,488092,36,1,2,Not Graduate,Self Employed,Rural,Married,1
48320,34775,273232,84,0,0,Graduate,Salaried,Semiurban,Single,1
79881,58144,420098,12,1,1,Not Graduate,Salaried,Semiurban,Married,1
105827,48570,88725,120,1,1,Not Graduate,Salaried,Urban,Married,1
117215,46097,448471,12,1,3+,Graduate,Salaried,Semiurban,Single,1
149461,24503,365524,12,1,0,Graduate,Self Employed,Rural,Married,1
76550,2779,295720,300,1,1,Not Graduate,Self Employed,Urban,Married,1
39826,755,103333,120,0,0,Graduate,Salaried,Urban,Single,0
115734,39263,354603,180,1,1,Graduate,Salaried,Semiurban,Single,1
113511,55087,428662,240,0,1,Graduate,Salaried,Urban,Single,0
26653,42281,311910,84,1,2,Graduate,Salaried,Urban,Single,1
96941,51482,348307,180,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
48662,54857,215043,180,0,2,Graduate,Self Employed,Urban,Single,1
113818,17400,246221,180,1,0,Not Graduate,Salaried,Rural,Single,1
110081,40115,396874,240,0,1,Not Graduate,Self Employed,Semiurban,Single,0
51877,14249,331620,60,1,3+,Graduate,Self Employed,Rural,Married,1
126562,46825,380724,240,1,1,Graduate,Salaried,Rural,Married,1
87715,24600,301831,180,0,1,Graduate,Salaried,Rural,Single,0
125091,37706,417720,60,0,2,Graduate,Salaried,Rural,Married,0
147632,19222,398737,120,1,0,Not Graduate,Self Employed,Urban,Single,1
94148,41139,250122,240,1,3+,Not Graduate,Self Employed,Urban,Married,1
98186,41302,256598,84,0,3+,Graduate,Self Employed,Semiurban,Married,0
138629,68159,421215,180,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
85316,8646,164832,36,1,0,Graduate,Salaried,Rural,Married,1
43380,13543,450723,120,0,3+,Not Graduate,Salaried,Rural,Married,0
125198,22785,193190,60,1,0,Not Graduate,Salaried,Semiurban,Married,1
17356,78353,231601,240,1,3+,Not Graduate,Self Employed,Semiurban,Single,1
85326,31406,118682,84,1,1,Graduate,Salaried,Semiurban,Married,1
107447,51428,273009,12,1,0,Graduate,Salaried,Semiurban,Married,1
129994,23777,497392,84,0,2,Not Graduate,Self Employed,Rural,Single,0
35049,57939,296553,84,1,3+,Graduate,Salaried,Semiurban,Married,1
120361,53026,403857,180,1,2,Graduate,Self Employed,Urban,Married,1
31082,29553,416204,180,0,0,Not Graduate,Self Employed,Rural,Married,0
15661,23548,185486,240,0,1,Graduate,Salaried,Urban,Married,0
17920,63221,133030,240,1,2,Graduate,Salaried,Semiurban,Single,1
94561,37265,170360,300,1,2,Not Graduate,Self Employed,Urban,Single,1
23946,40701,398117,60,1,1,Not Graduate,Salaried,Semiurban,Single,1
31309,51287,185009,300,1,1,Not Graduate,Salaried,Urban,Married,1
70230,6727,348875,240,1,0,Not Graduate,Self Employed,Rural,Single,1
126822,50717,219737,60,1,3+,Graduate,Salaried,Urban,Married,1
127340,32427,460716,180,0,2,Graduate,Self Employed,Rural,Married,0
74321,16692,164360,180,0,2,Not Graduate,Self Employed,Urban,Single,1
147028,31625,313894,36,1,0,Not Graduate,Self Employed,Urban,Single,1
89131,24918,115018,36,1,3+,Graduate,Self Employed,Rural,Single,1
40963,41136,447243,120,1,0,Graduate,Salaried,Rural,Married,1
116757,52409,290904,180,1,2,Graduate,Salaried,Semiurban,Married,1
114259,15577,186817,12,1,2,Not Graduate,Salaried,Rural,Married,1
54063,27689,242803,36,0,1,Not Graduate,Self Employed,Rural,Married,1
129225,11154,136984,60,1,1,Not Graduate,Salaried,Semiurban,Single,1
131400,21341,420127,84,1,3+,Not Graduate,Self Employed,Rural,Single,1
95818,74681,340595,240,0,2,Graduate,Self Employed,Rural,Married,0
19703,46330,405887,240,1,2,Not Graduate,Salaried,Urban,Married,1
87099,68416,383618,120,1,1,Not Graduate,Salaried,Semiurban,Single,1
46585,33313,242608,36,1,0,Graduate,Self Employed,Semiurban,Single,1
58585,46900,62150,84,1,0,Not Graduate,Self Employed,Urban,Married,1
41958,78840,325550,84,0,2,Graduate,Self Employed,Semiurban,Single,0
41017,34695,200853,36,1,2,Not Graduate,Self Employed,Urban,Married,1
139677,30225,238489,12,1,3+,Graduate,Salaried,Rural,Married,1
44426,49156,428191,12,1,3+,Graduate,Salaried,Semiurban,Married,1
32778,77209,436115,120,1,1,Graduate,Salaried,Rural,Married,1
57229,27829,415301,300,1,2,Not Graduate,Self Employed,Semiurban,Single,1
101652,25938,68325,12,0,0,Not Graduate,Self Employed,Rural,Single,1
143267,59164,249756,120,1,3+,Not Graduate,Salaried,Semiurban,Married,1
141503,54530,406559,300,1,1,Not Graduate,Salaried,Semiurban,Married,1
99878,68199,254541,300,1,1,Not Graduate,Salaried,Rural,Married,1
72056,60282,452652,60,0,0,Not Graduate,Self Employed,Urban,Married,0
34975,47801,67669,300,1,3+,Graduate,Self Employed,Semiurban,Married,1
103397,9465,439529,36,1,0,Not Graduate,Self Employed,Urban,Single,1
48142,3326,384154,300,1,1,Not Graduate,Salaried,Urban,Married,1
41916,3659,257836,84,1,2,Graduate,Salaried,Urban,Single,1
79324,60289,182915,120,1,0,Graduate,Salaried,Urban,Married,1
140932,27594,246681,240,1,1,Not Graduate,Salaried,Urban,Married,1
111059,4763,100812,12,1,2,Graduate,Salaried,Urban,Married,1
113317,10828,328203,240,1,2,Not Graduate,Salaried,Semiurban,Married,1
50046,47588,398413,120,1,3+,Graduate,Self Employed,Urban,Single,1
116459,11221,302862,180,1,3+,Not Graduate,Salaried,Semiurban,Single,1
60893,11211,221840,120,1,1,Graduate,Salaried,Semiurban,Single,1
116520,13569,75395,12,1,0,Graduate,Self Employed,Semiurban,Married,1
140818,37860,332346,180,1,2,Not Graduate,Self Employed,Rural,Single,1
76272,71558,456489,180,1,3+,Not Graduate,Self Employed,Urban,Married,1
82649,45337,492105,300,0,3+,Graduate,Self Employed,Rural,Married,0
79674,52311,279707,12,1,0,Graduate,Self Employed,Urban,Single,1
101475,13515,297181,180,0,3+,Graduate,Self Employed,Rural,Married,0
76367,71695,254120,36,1,1,Graduate,Salaried,Semiurban,Married,1
136750,24904,274839,84,0,0,Not Graduate,Salaried,Rural,Single,1
133154,59935,269882,240,1,2,Graduate,Salaried,Semiurban,Single,1
59738,43790,153235,36,0,1,Graduate,Salaried,Rural,Married,1
48397,68580,95510,36,1,2,Not Graduate,Self Employed,Urban,Single,1
97189,75148,137945,12,1,2,Not Graduate,Self Employed,Urban,Single,1
91367,5636,292802,300,1,3+,Not Graduate,Salaried,Rural,Single,1
135585,77129,300168,12,0,1,Not Graduate,Self Employed,Rural,Married,1
91619,2892,382793,240,1,1,Not Graduate,Self Employed,Urban,Married,1
126453,21672,418867,84,1,0,Not Graduate,Salaried,Rural,Single,1
34816,5812,52881,120,1,1,Graduate,Salaried,Rural,Married,1
94530,654,358057,36,0,0,Graduate,Salaried,Urban,Married,0
123856,54633,161860,180,1,1,Graduate,Salaried,Semiurban,Single,1
86635,17143,396929,84,1,2,Not Graduate,Salaried,Urban,Single,1
122803,55934,374601,36,0,0,Not Graduate,Salaried,Urban,Single,0
50946,67334,216415,120,0,1,Graduate,Salaried,Rural,Married,1
70204,29087,189728,300,1,0,Graduate,Salaried,Urban,Married,1
30563,11618,317885,180,1,3+,Not Graduate,Self Employed,Urban,Married,0
